Order_id,Date,Product,Category,Units_Sold,Price,Revenue,Discount,Units_Returned,Location,Platform,Return_flag
101,06-01-2020,Whey Protein,Protein,143,31.98,4573.14,0.03,2,Canada,Walmart,1
102,06-01-2020,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon,0
103,06-01-2020,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon,0
104,06-01-2020,Multivitamin,Vitamin,140,16.07,2249.8,0.08,0,Canada,Walmart,0
105,06-01-2020,Pre-Workout,Performance,157,35.47,5568.79,0.25,3,Canada,iHerb,1
106,06-01-2020,BCAA,Amino Acid,154,41.19,6343.26,0.13,1,UK,Walmart,1
107,06-01-2020,Creatine,Performance,134,32.49,4353.66,0.05,1,UK,Walmart,1
108,06-01-2020,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon,0
109,06-01-2020,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon,1
110,06-01-2020,Magnesium,Mineral,134,20.76,2781.84,0,0,Canada,Amazon,0
111,06-01-2020,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon,1
112,06-01-2020,Melatonin,Sleep Aid,164,34.41,5643.24,0.04,1,USA,Walmart,1
113,06-01-2020,Biotin,Vitamin,159,28.79,4577.61,0.1,1,UK,iHerb,1
114,06-01-2020,Green Tea Extract,Fat Burner,143,31.88,4558.84,0.06,3,UK,Walmart,1
115,06-01-2020,Iron Supplement,Mineral,149,42.97,6402.53,0.22,2,Canada,iHerb,1
116,06-01-2020,Electrolyte Powder,Hydration,154,35.92,5531.68,0.04,2,USA,Amazon,1
117,13-01-2020,Whey Protein,Protein,150,12.08,1812,0.02,2,UK,Amazon,1
118,13-01-2020,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon,1
119,13-01-2020,Fish Oil,Omega,145,27.49,3986.05,0.19,2,USA,Walmart,1
120,13-01-2020,Multivitamin,Vitamin,137,14.92,2044.04,0.17,2,USA,Amazon,1
121,13-01-2020,Pre-Workout,Performance,141,14.11,1989.51,0.24,1,Canada,iHerb,1
122,13-01-2020,BCAA,Amino Acid,160,29.1,4656,0.05,0,Canada,Amazon,0
123,13-01-2020,Creatine,Performance,154,42.2,6498.8,0.13,0,UK,Walmart,0
124,13-01-2020,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon,1
125,13-01-2020,Collagen Peptides,Protein,134,56.4,7557.6,0.06,1,Canada,iHerb,1
126,13-01-2020,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon,1
127,13-01-2020,Ashwagandha,Herbal,133,54.35,7228.55,0.16,1,UK,Walmart,1
128,13-01-2020,Melatonin,Sleep Aid,141,33.03,4657.23,0.21,2,USA,Amazon,1
129,13-01-2020,Biotin,Vitamin,161,18.87,3038.07,0.14,5,USA,iHerb,1
130,13-01-2020,Green Tea Extract,Fat Burner,174,18.24,3173.76,0.03,2,USA,Walmart,1
131,13-01-2020,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,1
132,13-01-2020,Electrolyte Powder,Hydration,151,35.42,5348.42,0.07,2,USA,Amazon,1
133,20-01-2020,Whey Protein,Protein,157,41.81,6564.17,0.19,0,USA,Walmart,0
134,20-01-2020,Vitamin C,Vitamin,149,22.33,3327.17,0.18,5,UK,Walmart,1
135,20-01-2020,Fish Oil,Omega,131,50,6550,0.05,1,USA,Walmart,1
136,20-01-2020,Multivitamin,Vitamin,159,19.4,3084.6,0.09,2,USA,Walmart,1
137,20-01-2020,Pre-Workout,Performance,152,48.05,7303.6,0.01,2,USA,iHerb,1
138,20-01-2020,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon,1
139,20-01-2020,Creatine,Performance,148,54.31,8037.88,0.15,1,UK,iHerb,1
140,20-01-2020,Zinc,Mineral,147,10.16,1493.52,0.15,1,USA,iHerb,1
141,20-01-2020,Collagen Peptides,Protein,161,39.41,6345.01,0.12,2,UK,Walmart,1
142,20-01-2020,Magnesium,Mineral,126,38.07,4796.82,0.14,1,Canada,Amazon,1
143,20-01-2020,Ashwagandha,Herbal,156,23.49,3664.44,0.21,1,Canada,iHerb,1
144,20-01-2020,Melatonin,Sleep Aid,128,26.71,3418.88,0.2,2,Canada,iHerb,1
145,20-01-2020,Biotin,Vitamin,161,32.01,5153.61,0.04,1,Canada,Amazon,1
146,20-01-2020,Green Tea Extract,Fat Burner,148,21.03,3112.44,0.15,2,UK,Walmart,1
147,20-01-2020,Iron Supplement,Mineral,155,41.81,6480.55,0.2,0,UK,iHerb,0
148,20-01-2020,Electrolyte Powder,Hydration,147,29.19,4290.93,0.14,2,USA,Amazon,1
149,27-01-2020,Whey Protein,Protein,137,26.73,3662.01,0.01,0,UK,Amazon,0
150,27-01-2020,Vitamin C,Vitamin,163,35.9,5851.7,0.07,4,UK,iHerb,1
151,27-01-2020,Fish Oil,Omega,141,53.64,7563.24,0.21,0,Canada,iHerb,0
152,27-01-2020,Multivitamin,Vitamin,162,34.15,5532.3,0.03,0,UK,iHerb,0
153,27-01-2020,Pre-Workout,Performance,158,31.84,5030.72,0.18,2,USA,iHerb,1
154,27-01-2020,BCAA,Amino Acid,136,16.77,2280.72,0.19,2,USA,iHerb,1
155,27-01-2020,Creatine,Performance,180,12.85,2313,0.07,1,USA,Walmart,1
156,27-01-2020,Zinc,Mineral,140,47.97,6715.8,0.11,2,UK,iHerb,1
157,27-01-2020,Collagen Peptides,Protein,126,11.68,1471.68,0.02,3,Canada,Walmart,1
158,27-01-2020,Magnesium,Mineral,135,30.55,4124.25,0.09,3,USA,Amazon,1
159,27-01-2020,Ashwagandha,Herbal,174,30.94,5383.56,0.07,2,Canada,Amazon,1
160,27-01-2020,Melatonin,Sleep Aid,156,38.27,5970.12,0.12,4,UK,iHerb,1
161,27-01-2020,Biotin,Vitamin,154,15.7,2417.8,0.04,1,UK,Walmart,1
162,27-01-2020,Green Tea Extract,Fat Burner,141,38.06,5366.46,0.13,0,UK,iHerb,0
163,27-01-2020,Iron Supplement,Mineral,165,13.38,2207.7,0.18,2,USA,iHerb,1
164,27-01-2020,Electrolyte Powder,Hydration,129,34.23,4415.67,0.04,3,Canada,Amazon,1
165,03-02-2020,Whey Protein,Protein,165,33.11,5463.15,0.1,2,Canada,iHerb,1
166,03-02-2020,Vitamin C,Vitamin,152,35.63,5415.76,0.2,1,UK,Amazon,1
167,03-02-2020,Fish Oil,Omega,138,18.24,2517.12,0.08,2,UK,Amazon,1
168,03-02-2020,Multivitamin,Vitamin,151,53.89,8137.39,0.22,3,UK,Amazon,1
169,03-02-2020,Pre-Workout,Performance,140,59.25,8295,0.19,0,UK,Amazon,0
170,03-02-2020,BCAA,Amino Acid,126,55.46,6987.96,0.13,1,USA,iHerb,1
171,03-02-2020,Creatine,Performance,132,51.11,6746.52,0.1,2,Canada,Amazon,1
172,03-02-2020,Zinc,Mineral,184,36.17,6655.28,0.07,3,Canada,Amazon,1
173,03-02-2020,Collagen Peptides,Protein,153,49.9,7634.7,0.1,3,UK,Amazon,1
174,03-02-2020,Magnesium,Mineral,151,44.79,6763.29,0.2,1,Canada,Amazon,1
175,03-02-2020,Ashwagandha,Herbal,135,19.21,2593.35,0.22,2,UK,Amazon,1
176,03-02-2020,Melatonin,Sleep Aid,135,40.76,5502.6,0.02,3,Canada,iHerb,1
177,03-02-2020,Biotin,Vitamin,162,58.36,9454.32,0.1,5,UK,Amazon,1
178,03-02-2020,Green Tea Extract,Fat Burner,156,18.3,2854.8,0.22,1,UK,iHerb,1
179,03-02-2020,Iron Supplement,Mineral,136,37.99,5166.64,0.13,2,USA,Amazon,1
180,03-02-2020,Electrolyte Powder,Hydration,168,46.57,7823.76,0.05,3,Canada,iHerb,1
181,10-02-2020,Whey Protein,Protein,163,45.51,7418.13,0.08,1,UK,iHerb,1
182,10-02-2020,Vitamin C,Vitamin,163,27.89,4546.07,0.12,3,UK,Amazon,1
183,10-02-2020,Fish Oil,Omega,144,45.6,6566.4,0.21,0,Canada,Amazon,0
184,10-02-2020,Multivitamin,Vitamin,140,27.4,3836,0.11,2,UK,Walmart,1
185,10-02-2020,Pre-Workout,Performance,155,27.62,4281.1,0.21,1,USA,iHerb,1
186,10-02-2020,BCAA,Amino Acid,134,26.26,3518.84,0.17,0,UK,Amazon,0
187,10-02-2020,Creatine,Performance,137,21.36,2926.32,0.21,1,Canada,iHerb,1
188,10-02-2020,Zinc,Mineral,155,35.63,5522.65,0.08,1,UK,Amazon,1
189,10-02-2020,Collagen Peptides,Protein,155,53.56,8301.8,0.19,2,UK,Walmart,1
190,10-02-2020,Magnesium,Mineral,156,55.36,8636.16,0.17,2,UK,iHerb,1
191,10-02-2020,Ashwagandha,Herbal,132,33.02,4358.64,0.22,1,USA,iHerb,1
192,10-02-2020,Melatonin,Sleep Aid,146,15.54,2268.84,0.11,0,Canada,Amazon,0
193,10-02-2020,Biotin,Vitamin,142,24.61,3494.62,0.23,2,UK,iHerb,1
194,10-02-2020,Green Tea Extract,Fat Burner,162,58.14,9418.68,0.18,1,UK,Walmart,1
195,10-02-2020,Iron Supplement,Mineral,163,53.64,8743.32,0.03,2,USA,Walmart,1
196,10-02-2020,Electrolyte Powder,Hydration,151,22.09,3335.59,0,1,USA,Amazon,1
197,17-02-2020,Whey Protein,Protein,143,24.86,3554.98,0.07,2,Canada,iHerb,1
198,17-02-2020,Vitamin C,Vitamin,165,39.66,6543.9,0.22,0,Canada,iHerb,0
199,17-02-2020,Fish Oil,Omega,129,49.73,6415.17,0.01,1,Canada,Walmart,1
200,17-02-2020,Multivitamin,Vitamin,151,51.57,7787.07,0.15,0,USA,Amazon,0
201,17-02-2020,Pre-Workout,Performance,131,43.46,5693.26,0.21,3,USA,Walmart,1
202,17-02-2020,BCAA,Amino Acid,152,31.52,4791.04,0.08,1,UK,Amazon,1
203,17-02-2020,Creatine,Performance,160,54.63,8740.8,0.11,2,UK,Amazon,1
204,17-02-2020,Zinc,Mineral,155,45.13,6995.15,0.06,1,USA,iHerb,1
205,17-02-2020,Collagen Peptides,Protein,132,34.38,4538.16,0.16,3,Canada,Walmart,1
206,17-02-2020,Magnesium,Mineral,154,35.31,5437.74,0.16,0,USA,Amazon,0
207,17-02-2020,Ashwagandha,Herbal,141,33.62,4740.42,0.01,0,USA,iHerb,0
208,17-02-2020,Melatonin,Sleep Aid,144,19.8,2851.2,0.15,1,USA,iHerb,1
209,17-02-2020,Biotin,Vitamin,139,10.28,1428.92,0,0,USA,Walmart,0
210,17-02-2020,Green Tea Extract,Fat Burner,117,26.94,3151.98,0.2,1,Canada,Amazon,1
211,17-02-2020,Iron Supplement,Mineral,150,56.59,8488.5,0.1,0,UK,Amazon,0
212,17-02-2020,Electrolyte Powder,Hydration,154,27.26,4198.04,0.13,3,Canada,Amazon,1
213,24-02-2020,Whey Protein,Protein,150,59.64,8946,0.03,1,UK,Walmart,1
214,24-02-2020,Vitamin C,Vitamin,146,30.55,4460.3,0.23,2,UK,iHerb,1
215,24-02-2020,Fish Oil,Omega,154,51.19,7883.26,0.24,3,USA,Amazon,1
216,24-02-2020,Multivitamin,Vitamin,123,12.98,1596.54,0.15,2,USA,Walmart,1
217,24-02-2020,Pre-Workout,Performance,133,32.81,4363.73,0.09,0,Canada,Amazon,0
218,24-02-2020,BCAA,Amino Acid,147,13.55,1991.85,0.02,1,UK,Amazon,1
219,24-02-2020,Creatine,Performance,175,43.93,7687.75,0.09,2,UK,Amazon,1
220,24-02-2020,Zinc,Mineral,170,53.68,9125.6,0.18,0,UK,iHerb,0
221,24-02-2020,Collagen Peptides,Protein,169,36.7,6202.3,0.04,0,Canada,iHerb,0
222,24-02-2020,Magnesium,Mineral,147,34.3,5042.1,0.14,0,UK,iHerb,0
223,24-02-2020,Ashwagandha,Herbal,133,27.16,3612.28,0.18,2,UK,iHerb,1
224,24-02-2020,Melatonin,Sleep Aid,164,31.5,5166,0.17,1,Canada,iHerb,1
225,24-02-2020,Biotin,Vitamin,143,32.32,4621.76,0.2,2,USA,iHerb,1
226,24-02-2020,Green Tea Extract,Fat Burner,147,39.11,5749.17,0.09,2,UK,iHerb,1
227,24-02-2020,Iron Supplement,Mineral,158,28.73,4539.34,0.04,1,UK,Amazon,1
228,24-02-2020,Electrolyte Powder,Hydration,135,27.29,3684.15,0.04,0,Canada,Amazon,0
229,02-03-2020,Whey Protein,Protein,155,27.03,4189.65,0.02,1,Canada,Amazon,1
230,02-03-2020,Vitamin C,Vitamin,143,40.29,5761.47,0.09,0,Canada,iHerb,0
231,02-03-2020,Fish Oil,Omega,157,34.28,5381.96,0.01,1,Canada,iHerb,1
232,02-03-2020,Multivitamin,Vitamin,184,11.95,2198.8,0.01,1,UK,iHerb,1
233,02-03-2020,Pre-Workout,Performance,136,47.81,6502.16,0.11,1,USA,Walmart,1
234,02-03-2020,BCAA,Amino Acid,169,57.8,9768.2,0.08,3,Canada,Amazon,1
235,02-03-2020,Creatine,Performance,154,59.2,9116.8,0.07,4,Canada,iHerb,1
236,02-03-2020,Zinc,Mineral,146,27.02,3944.92,0.14,0,UK,Amazon,0
237,02-03-2020,Collagen Peptides,Protein,152,48.1,7311.2,0.21,1,UK,Amazon,1
238,02-03-2020,Magnesium,Mineral,143,19.73,2821.39,0.01,1,USA,Amazon,1
239,02-03-2020,Ashwagandha,Herbal,152,39.02,5931.04,0.03,1,USA,Amazon,1
240,02-03-2020,Melatonin,Sleep Aid,154,30.09,4633.86,0.25,3,Canada,Amazon,1
241,02-03-2020,Biotin,Vitamin,154,41.03,6318.62,0.05,1,UK,Amazon,1
242,02-03-2020,Green Tea Extract,Fat Burner,151,58.2,8788.2,0.23,2,USA,Walmart,1
243,02-03-2020,Iron Supplement,Mineral,151,16.53,2496.03,0.2,0,UK,Amazon,0
244,02-03-2020,Electrolyte Powder,Hydration,161,53.85,8669.85,0.24,0,USA,Amazon,0
245,09-03-2020,Whey Protein,Protein,149,34.17,5091.33,0.22,2,USA,Walmart,1
246,09-03-2020,Vitamin C,Vitamin,145,20.16,2923.2,0.19,1,Canada,iHerb,1
247,09-03-2020,Fish Oil,Omega,150,38.86,5829,0.22,4,UK,Walmart,1
248,09-03-2020,Multivitamin,Vitamin,147,48.23,7089.81,0.14,4,UK,Walmart,1
249,09-03-2020,Pre-Workout,Performance,138,52.7,7272.6,0.11,3,Canada,Amazon,1
250,09-03-2020,BCAA,Amino Acid,168,54.17,9100.56,0.11,2,Canada,Amazon,1
251,09-03-2020,Creatine,Performance,154,10.96,1687.84,0.12,2,USA,Amazon,1
252,09-03-2020,Zinc,Mineral,158,16.72,2641.76,0.07,1,USA,iHerb,1
253,09-03-2020,Collagen Peptides,Protein,162,20.54,3327.48,0.24,0,UK,Amazon,0
254,09-03-2020,Magnesium,Mineral,163,10.72,1747.36,0.18,3,UK,iHerb,1
255,09-03-2020,Ashwagandha,Herbal,159,47.67,7579.53,0.19,2,Canada,iHerb,1
256,09-03-2020,Melatonin,Sleep Aid,160,40.68,6508.8,0.02,1,UK,Walmart,1
257,09-03-2020,Biotin,Vitamin,128,30.36,3886.08,0.02,1,USA,Walmart,1
258,09-03-2020,Green Tea Extract,Fat Burner,132,57.38,7574.16,0.02,3,USA,Amazon,1
259,09-03-2020,Iron Supplement,Mineral,151,13.84,2089.84,0.13,2,Canada,iHerb,1
260,09-03-2020,Electrolyte Powder,Hydration,158,13.65,2156.7,0.1,1,Canada,Amazon,1
261,16-03-2020,Whey Protein,Protein,140,50.17,7023.8,0.23,1,Canada,iHerb,1
262,16-03-2020,Vitamin C,Vitamin,169,33.82,5715.58,0.06,2,Canada,Walmart,1
263,16-03-2020,Fish Oil,Omega,145,16.15,2341.75,0.22,1,Canada,Amazon,1
264,16-03-2020,Multivitamin,Vitamin,148,41.24,6103.52,0.02,2,UK,Amazon,1
265,16-03-2020,Pre-Workout,Performance,140,51.13,7158.2,0.2,1,USA,Walmart,1
