Order_id,Date,Product,Category,Units_Sold,Price,Revenue,Discount,Units_Returned,Location,Platform,Return_flag,Return_Flag,Category_encoded,Platform_encoded,Location_encoded,Return_Prob
101,06-01-2020,Whey Protein,Protein,143,31.98,4573.14,0.03,2,Canada,Walmart,1,1,7,1,0,0.7654587503930301
102,06-01-2020,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon,0,0,9,0,1,0.7709017903027946
103,06-01-2020,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon,0,0,5,0,0,0.7669475950168431
104,06-01-2020,Multivitamin,Vitamin,140,16.07,2249.8,0.08,0,Canada,Walmart,0,0,9,1,0,0.7724787194742727
105,06-01-2020,Pre-Workout,Performance,157,35.47,5568.79,0.25,3,Canada,iHerb,1,1,6,2,0,0.7633232146221991
106,06-01-2020,BCAA,Amino Acid,154,41.19,6343.26,0.13,1,UK,Walmart,1,1,0,1,1,0.766602213552812
107,06-01-2020,Creatine,Performance,134,32.49,4353.66,0.05,1,UK,Walmart,1,1,6,1,1,0.7748651639166668
108,06-01-2020,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon,0,0,4,0,0,0.7534216570099074
109,06-01-2020,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon,1,1,7,0,2,0.7913268875924041
110,06-01-2020,Magnesium,Mineral,134,20.76,2781.84,0.0,0,Canada,Amazon,0,0,4,0,0,0.7658492025277803
111,06-01-2020,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon,1,1,2,0,2,0.7856891748635051
112,06-01-2020,Melatonin,Sleep Aid,164,34.41,5643.24,0.04,1,USA,Walmart,1,1,8,1,2,0.7857185712161987
113,06-01-2020,Biotin,Vitamin,159,28.79,4577.61,0.1,1,UK,iHerb,1,1,9,2,1,0.7799367329857594
114,06-01-2020,Green Tea Extract,Fat Burner,143,31.88,4558.84,0.06,3,UK,Walmart,1,1,1,1,1,0.771641730993182
115,06-01-2020,Iron Supplement,Mineral,149,42.97,6402.53,0.22,2,Canada,iHerb,1,1,4,2,0,0.759272776660625
116,06-01-2020,Electrolyte Powder,Hydration,154,35.92,5531.68,0.04,2,USA,Amazon,1,1,3,0,2,0.7797430872768332
117,13-01-2020,Whey Protein,Protein,150,12.08,1812.0,0.02,2,UK,Amazon,1,1,7,0,1,0.7813570502029353
118,13-01-2020,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon,1,1,9,0,2,0.7909471848648261
119,13-01-2020,Fish Oil,Omega,145,27.49,3986.05,0.19,2,USA,Walmart,1,1,5,1,2,0.7848334312564818
120,13-01-2020,Multivitamin,Vitamin,137,14.92,2044.04,0.17,2,USA,Amazon,1,1,9,0,2,0.79007410742543
121,13-01-2020,Pre-Workout,Performance,141,14.11,1989.51,0.24,1,Canada,iHerb,1,1,6,2,0,0.771774769375933
122,13-01-2020,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,Canada,Amazon,0,0,0,0,0,0.7592329191414076
123,13-01-2020,Creatine,Performance,154,42.2,6498.8,0.13,0,UK,Walmart,0,0,6,1,1,0.770292329212062
124,13-01-2020,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon,1,1,4,0,2,0.7744008092247526
125,13-01-2020,Collagen Peptides,Protein,134,56.4,7557.6,0.06,1,Canada,iHerb,1,1,7,2,0,0.757731855333127
126,13-01-2020,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon,1,1,4,0,1,0.7661060686038722
127,13-01-2020,Ashwagandha,Herbal,133,54.35,7228.55,0.16,1,UK,Walmart,1,1,2,1,1,0.762469752838414
128,13-01-2020,Melatonin,Sleep Aid,141,33.03,4657.23,0.21,2,USA,Amazon,1,1,8,0,2,0.782365528400972
129,13-01-2020,Biotin,Vitamin,161,18.87,3038.07,0.14,5,USA,iHerb,1,1,9,2,2,0.7931337964108283
130,13-01-2020,Green Tea Extract,Fat Burner,174,18.24,3173.76,0.03,2,USA,Walmart,1,1,1,1,2,0.7872687744790936
131,13-01-2020,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,1,1,4,0,2,0.7788978827011283
132,13-01-2020,Electrolyte Powder,Hydration,151,35.42,5348.42,0.07,2,USA,Amazon,1,1,3,0,2,0.7796244287068521
133,20-01-2020,Whey Protein,Protein,157,41.81,6564.17,0.19,0,USA,Walmart,0,0,7,1,2,0.7808023949917392
134,20-01-2020,Vitamin C,Vitamin,149,22.33,3327.17,0.18,5,UK,Walmart,1,1,9,1,1,0.7793662382408142
135,20-01-2020,Fish Oil,Omega,131,50.0,6550.0,0.05,1,USA,Walmart,1,1,5,1,2,0.7778352897445029
136,20-01-2020,Multivitamin,Vitamin,159,19.4,3084.6,0.09,2,USA,Walmart,1,1,9,1,2,0.7913412518502851
137,20-01-2020,Pre-Workout,Performance,152,48.05,7303.6,0.01,2,USA,iHerb,1,1,6,2,2,0.781815631915862
138,20-01-2020,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon,1,1,0,0,1,0.7740821291374508
